traits_name	trait_name	intensity
Stratus Traits	Body Type 2	47
Stratus Traits	Ability To Fly	-1
Stratus Traits	Underwater	0
Stratus Traits	Balanced	1
Stratus Traits	Cloudy	2
Nimbus Traits	Corporeality	3
Nimbus Traits	Age	2
Nimbus Traits	Body Type 1	8
Nimbus Traits	Ability To Fly	-1
Nimbus Traits	Underwater	0
Nimbus Traits	Heat Tolerance	-1
Nimbus Traits	Magical	1
Nimbus Traits	Cloudy	2
Nephol Traits	Corporeality	3
Nephol Traits	Age	3
Nephol Traits	Body Type 1	8
Nephol Traits	Body Type 2	32
Nephol Traits	Ability To Fly	-2
Nephol Traits	Underwater	0
Nephol Traits	Strong	1
Nephol Traits	Physical	2
Nephol Traits	Cloudy	3
Cumulostratus Traits	Corporeality	3
Cumulostratus Traits	Age	3
Cumulostratus Traits	Body Type 1	8
Cumulostratus Traits	Ability To Fly	-2
Cumulostratus Traits	Underwater	0
Cumulostratus Traits	Hardy	1
Cumulostratus Traits	Balanced	2
Cumulostratus Traits	Cloudy	3
Nimbuloponderant Traits	Corporeality	3
Nimbuloponderant Traits	Age	3
Nimbuloponderant Traits	Body Type 1	8
Nimbuloponderant Traits	Body Type 2	47
Nimbuloponderant Traits	Ability To Fly	-2
Nimbuloponderant Traits	Underwater	0
Nimbuloponderant Traits	Heat Tolerance	-2
Nimbuloponderant Traits	Wise	1
Nimbuloponderant Traits	Magical	2
Nimbuloponderant Traits	Cloudy	3
Thunderus Traits	Corporeality	3
Thunderus Traits	Age	4
Thunderus Traits	Body Type 1	8
Thunderus Traits	Body Type 2	12
Thunderus Traits	Ability To Fly	-3
Thunderus Traits	Underwater	0
Thunderus Traits	Strong	2
Thunderus Traits	Fast	2
Thunderus Traits	Physical	3
Thunderus Traits	Cloudy	4
Cirricumulus Traits	Corporeality	3
Cirricumulus Traits	Age	4
Cirricumulus Traits	Body Type 1	8
Cirricumulus Traits	Body Type 2	12
Cirricumulus Traits	Ability To Fly	-3
Cirricumulus Traits	Underwater	0
Cirricumulus Traits	Wetness Affinity	2
Cirricumulus Traits	Hardy	2
Cirricumulus Traits	Balanced	3
Cirricumulus Traits	Cloudy	4
Cumulonimbus Traits	Corporeality	3
Cumulonimbus Traits	Age	4
Cumulonimbus Traits	Body Type 1	8
Cumulonimbus Traits	Ability To Fly	-3
Cumulonimbus Traits	Underwater	0
Cumulonimbus Traits	Heat Tolerance	-3
Cumulonimbus Traits	Wise	2
Cumulonimbus Traits	Magical	3
Cumulonimbus Traits	Cloudy	4
Snoball Traits	Corporeality	1
Snoball Traits	Age	1
Snoball Traits	Body Type 1	6
Snoball Traits	Ability To Fly	1
Snoball Traits	Underwater	5
Snoball Traits	Heat Tolerance	-1
Fauxice Traits	Corporeality	1
Fauxice Traits	Age	2
Fauxice Traits	Body Type 1	15
Fauxice Traits	Ability To Fly	1
Fauxice Traits	Underwater	3
Fauxice Traits	Heat Tolerance	-2
Fauxice Traits	Fast	1
Fauxice Traits	Physical	1
Princeguin Traits	Corporeality	1
Princeguin Traits	Age	2
Princeguin Traits	Body Type 1	26
Princeguin Traits	Ability To Fly	3
Princeguin Traits	Underwater	6
Princeguin Traits	Heat Tolerance	-2
Princeguin Traits	Rich	1
Princeguin Traits	Balanced	1
Princeguin Traits	Fish	1
Princeguin Traits	Flock	1
Icebreaker Traits	Corporeality	1
Icebreaker Traits	Age	2
Icebreaker Traits	Body Type 1	10
Icebreaker Traits	Ability To Fly	2
Icebreaker Traits	Underwater	3
Icebreaker Traits	Heat Tolerance	-2
Icebreaker Traits	Hardy	-1
Icebreaker Traits	Magical	1
Freki Traits	Corporeality	1
Freki Traits	Age	3
Freki Traits	Body Type 1	45
Freki Traits	Ability To Fly	3
Freki Traits	Underwater	3
Freki Traits	Heat Tolerance	-3
Freki Traits	Strong	1
Freki Traits	Fast	1
Freki Traits	Physical	2
Kinguin Traits	Corporeality	1
Kinguin Traits	Age	3
Kinguin Traits	Body Type 1	26
Kinguin Traits	Ability To Fly	3
Kinguin Traits	Underwater	6
Kinguin Traits	Heat Tolerance	-3
Kinguin Traits	Rich	2
Kinguin Traits	Balanced	2
Kinguin Traits	Fish	2
Kinguin Traits	Flock	1
White Limper	Corporeality	1
White Limper	Age	3
White Limper	Body Type 1	9
White Limper	Ability To Fly	3
White Limper	Underwater	5
White Limper	Heat Tolerance	-3
White Limper	Hardy	1
White Limper	Balanced	1
White Limper	Magical	1
Ice Witch Traits	Corporeality	1
Ice Witch Traits	Age	3
Ice Witch Traits	Body Type 1	10
Ice Witch Traits	Ability To Fly	2
Ice Witch Traits	Underwater	4
Ice Witch Traits	Heat Tolerance	-3
Ice Witch Traits	Wise	1
Ice Witch Traits	Hardy	1
Ice Witch Traits	Magical	2
Ice Witch Traits	Terramancy	1
Bearon Traits	Corporeality	1
Bearon Traits	Age	4
Bearon Traits	Body Type 1	4
Bearon Traits	Ability To Fly	4
Bearon Traits	Underwater	5
Bearon Traits	Heat Tolerance	-4
Bearon Traits	Strong	3
Bearon Traits	Fast	-1
Bearon Traits	Hardy	2
Bearon Traits	Physical	3
Emperorguin Traits	Corporeality	1
Emperorguin Traits	Age	4
Emperorguin Traits	Body Type 1	26
Emperorguin Traits	Ability To Fly	2
Emperorguin Traits	Underwater	6
Emperorguin Traits	Heat Tolerance	-4
Emperorguin Traits	Hardy	1
Emperorguin Traits	Rich	3
Emperorguin Traits	Balanced	3
Emperorguin Traits	Fish	2
Emperorguin Traits	Flock	2
Iceking Traits	Corporeality	1
Iceking Traits	Age	4
Iceking Traits	Body Type 1	21
Iceking Traits	Ability To Fly	4
Iceking Traits	Underwater	6
Iceking Traits	Heat Tolerance	-4
Iceking Traits	Hardy	2
Iceking Traits	Rich	2
Iceking Traits	Balanced	2
Iceking Traits	Magical	2
Ice Lich Traits	Corporeality	1
Ice Lich Traits	Age	4
Ice Lich Traits	Body Type 1	21
Ice Lich Traits	Ability To Fly	0
Ice Lich Traits	Underwater	4
Ice Lich Traits	Heat Tolerance	-4
Ice Lich Traits	Wise	2
Ice Lich Traits	Magical	3
Ice Lich Traits	Aquamancy	2
Deepfish Traits	Corporeality	1
Deepfish Traits	Age	1
Deepfish Traits	Body Type 1	14
Deepfish Traits	Ability To Fly	1
Deepfish Traits	Underwater	6
Deepfish Traits	Wetness Affinity	1
Deepfish Traits	Depths Dwelling	1
Deepfish Traits	Fish	1
Inker Traits	Corporeality	1
Inker Traits	Age	2
Inker Traits	Body Type 1	35
Inker Traits	Ability To Fly	2
Inker Traits	Underwater	6
Inker Traits	Wetness Affinity	1
Inker Traits	Physical	1
Inker Traits	Depths Dwelling	2
